"データファイル名        : ","C:\Users\rwth-\Documents\MASS\230509_D2_1%_5%_100d_calib\S1_230424_203149.qst"
"ロットＩＤ              : ",""
"センサータイプ          : ","HGM2-302            "
"センサー番号            : ",1
"レシピ番号              : ",1
"レシピ名称              : ","NH3_trend1"
"測定モード              : ","トレンドモード"
"測定質量数              : ",2 ,4 ,16,17,18,20,28,32,40,44,--,--,--,--,--,--,--,--,--,--
"測定スピード            : ",500   ,"msec"
"移動平均回数            : ",1,"回"
"測定間隔                : ",5000  ,"msec"
"保存間隔                : ",1,"回"
"導入バルブ状態          : ","全閉"
"終了バルブ状態          : ","状態維持"
"イオン化電圧            : ",70    ,"eV"
"レンジ値                : ","オートレンジ"
"データの種類            : ","イオン強度"
"分圧の参照値            : ","感度校正値"
"圧力単位                : ","[Pa]"
"ｱﾅﾛｸﾞCH.1のデータの種類 : ","圧力"
"ｱﾅﾛｸﾞCH.2のデータの種類 : ","圧力"
"選択 FIL                : ","FIL1"
"選択 SEM / FC           : ","FC"
"SEM 電圧                : ",-1.200,"kV"
"変換条件 電流 ->分圧    : ","校正圧力値",5.00E-04,"設定イオン電流値",1.20E-09
"変換条件 ｱﾅﾛｸﾞ1->圧力   : ","換算係数値",8
圧力"変換条件 ｱﾅﾛｸﾞ1->温度   : ","最大温度",1000    ,"最小温度",0       
"変換条件 ｱﾅﾛｸﾞ2->圧力   : ","換算係数値",8
"変換条件 ｱﾅﾛｸﾞ2->温度   : ","最大温度",1000    ,"最小温度",0       
"測定開始日時            : ",2023/04/24 20:31:49
"測定終了日時            : ",2023/04/25 17:07:49
"エミッション電流        : ",500   ,"μA"
"SEMインターロック       : ","無視状態","有効",1.00E-02
"Ar表示機能              : ","無効",0


,,,,,,2,4,16,17,18,20,28,32,40,44,--,--,--,--,--,--,--,--,--,--
"測定回数","経過時間"   ,"時刻　　 "   ,"分圧比率1" ,"分圧比率2" ,"全圧"   ,     1   ,     2   ,     3   ,     4   ,     5   ,     6   ,     7   ,     8   ,     9   ,    10   ,    11   ,    12   ,    13   ,    14   ,    15   ,    16   ,    17   ,    18   ,    19   ,    20   
       1  ,000:00:00.000,2023/4/24  20:31:49:0 ,1.0000000 ,1.0000000 ,1.00E-99 , 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-14, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       2  ,000:00:04.984,2023/4/24  20:31:53:984 ,0.2679166 ,0.0608333 ,1.00E-99 , 3.38E-12, 3.97E-14, 1.62E-11, 3.33E-11, 1.07E-10, 4.28E-10, 6.43E-10, 1.46E-10, 2.40E-09, 1.00E-14, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       3  ,000:00:10.000,2023/4/24  20:31:59:0 ,0.2666667 ,0.0600000 ,1.00E-99 , 2.81E-12, 3.45E-14, 9.82E-12, 1.69E-11, 7.23E-11, 4.23E-10, 6.40E-10, 1.44E-10, 2.40E-09, 5.70E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       4  ,000:00:15.000,2023/4/24  20:32:4:0 ,0.2654167 ,0.0595833 ,1.00E-99 , 2.54E-12, 4.36E-14, 9.27E-12, 1.26E-11, 5.50E-11, 4.21E-10, 6.37E-10, 1.43E-10, 2.40E-09, 3.64E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       5  ,000:00:20.016,2023/4/24  20:32:9:15 ,0.2656904 ,0.0598326 ,1.00E-99 , 2.43E-12, 3.91E-14, 8.97E-12, 1.04E-11, 4.57E-11, 4.18E-10, 6.35E-10, 1.43E-10, 2.39E-09, 2.71E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       6  ,000:00:25.016,2023/4/24  20:32:14:15 ,0.2648536 ,0.0594142 ,1.00E-99 , 2.35E-12, 4.75E-14, 8.86E-12, 9.00E-12, 4.04E-11, 4.16E-10, 6.33E-10, 1.42E-10, 2.39E-09, 2.27E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       7  ,000:00:30.031,2023/4/24  20:32:19:31 ,0.2659664 ,0.0596639 ,1.00E-99 , 2.26E-12, 4.69E-14, 8.73E-12, 8.23E-12, 3.72E-11, 4.14E-10, 6.33E-10, 1.42E-10, 2.38E-09, 2.00E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
       8  ,000:00:35.031,2023/4/24  20:32:24:31 ,0.2651260 ,0.0596639 ,1.00E-99 , 2.22E-12, 3.86E-14, 8.63E-12, 7.77E-12, 3.51E-11, 4.14E-10, 6.31E-10, 1.42E-10, 2.38E-09, 1.81E-12, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99, 1.00E-99
