Elapsed Time (s),m=1,m=2,m=3,m=4,m=14,m=15,m=16,m=17,m=18,m=20,m=22,m=28,m=32,m=40,m=44
00:00:00.000,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14
00:00:07.500,2.47E-10,5.01E-12,1.55E-13,1.69E-13,9.00E-11,5.53E-13,2.42E-11,4.47E-12,1.95E-11,2.13E-11,1.95E-13,1.79E-09,4.04E-10,1.69E-10,1.00E-14
00:00:15.016,2.84E-10,6.49E-12,1.72E-13,1.69E-13,9.17E-11,5.63E-13,2.42E-11,4.19E-12,1.85E-11,1.67E-11,2.03E-13,1.77E-09,4.00E-10,1.69E-10,1.85E-12
00:00:22.516,2.85E-10,6.47E-12,2.02E-13,2.39E-13,9.15E-11,5.37E-13,2.42E-11,4.13E-12,1.82E-11,1.33E-11,1.83E-13,1.77E-09,4.00E-10,1.34E-10,1.73E-12
00:00:30.016,2.84E-10,6.28E-12,1.91E-13,1.85E-13,9.13E-11,5.47E-13,2.41E-11,4.13E-12,1.80E-11,1.10E-11,1.88E-13,1.77E-09,3.98E-10,1.09E-10,1.73E-12
00:00:37.516,2.84E-10,6.18E-12,1.80E-13,1.79E-13,9.13E-11,5.62E-13,2.41E-11,4.09E-12,1.80E-11,9.27E-12,1.88E-13,1.76E-09,3.96E-10,9.02E-11,1.76E-12
00:00:45.016,2.84E-10,6.23E-12,1.62E-13,1.56E-13,9.11E-11,4.27E-13,2.41E-11,4.11E-12,1.80E-11,9.27E-12,1.63E-13,1.76E-09,3.96E-10,7.68E-11,1.71E-12
00:00:52.516,2.83E-10,6.19E-12,1.59E-13,1.61E-13,9.11E-11,5.21E-13,2.40E-11,4.08E-12,1.81E-11,8.03E-12,2.34E-13,1.76E-09,3.94E-10,6.70E-11,1.71E-12
00:01:00.032,2.81E-10,6.23E-12,1.95E-13,2.09E-13,9.10E-11,5.32E-13,2.39E-11,4.08E-12,1.81E-11,7.14E-12,1.81E-13,1.75E-09,3.93E-10,5.96E-11,1.68E-12
00:01:07.547,2.81E-10,6.08E-12,1.79E-13,1.74E-13,9.09E-11,4.76E-13,2.39E-11,4.08E-12,1.81E-11,6.46E-12,1.83E-13,1.75E-09,3.93E-10,5.42E-11,1.75E-12
00:01:15.047,2.80E-10,6.06E-12,2.00E-13,1.97E-13,9.09E-11,5.60E-13,2.39E-11,4.10E-12,1.81E-11,5.99E-12,1.87E-13,1.75E-09,3.92E-10,5.02E-11,1.71E-12
00:01:22.547,2.79E-10,6.00E-12,2.08E-13,1.98E-13,9.08E-11,5.60E-13,2.39E-11,4.11E-12,1.82E-11,5.52E-12,2.24E-13,1.75E-09,3.91E-10,4.71E-11,1.67E-12
00:01:30.047,2.79E-10,5.93E-12,1.93E-13,2.11E-13,9.08E-11,4.41E-13,2.39E-11,4.13E-12,1.82E-11,5.33E-12,1.91E-13,1.74E-09,3.91E-10,4.48E-11,1.71E-12
00:01:37.563,2.79E-10,5.93E-12,1.88E-13,2.11E-13,9.05E-11,4.84E-13,2.39E-11,4.19E-12,1.82E-11,5.10E-12,2.00E-13,1.74E-09,3.91E-10,4.30E-11,1.70E-12
00:01:45.047,2.78E-10,5.78E-12,1.88E-13,2.02E-13,9.06E-11,4.75E-13,2.39E-11,4.17E-12,1.82E-11,4.89E-12,1.68E-13,1.74E-09,3.90E-10,4.17E-11,1.68E-12
00:01:52.547,2.78E-10,5.78E-12,2.67E-13,1.72E-13,9.05E-11,4.46E-13,2.38E-11,4.23E-12,1.83E-11,4.71E-12,1.86E-13,1.74E-09,3.90E-10,4.06E-11,1.66E-12
00:02:00.047,2.78E-10,5.71E-12,1.85E-13,1.95E-13,9.04E-11,4.14E-13,2.39E-11,4.21E-12,1.82E-11,4.61E-12,1.82E-13,1.74E-09,3.89E-10,3.98E-11,1.60E-12
00:02:07.547,2.78E-10,5.74E-12,1.76E-13,2.22E-13,9.04E-11,4.46E-13,2.38E-11,4.22E-12,1.82E-11,4.56E-12,1.24E-13,1.73E-09,3.89E-10,3.91E-11,1.63E-12
00:02:15.047,2.78E-10,5.57E-12,1.56E-13,1.64E-13,9.03E-11,4.37E-13,2.38E-11,4.24E-12,1.83E-11,4.51E-12,1.79E-13,1.73E-09,3.89E-10,3.86E-11,1.63E-12
00:02:22.547,2.76E-10,5.55E-12,2.00E-13,1.82E-13,9.02E-11,4.69E-13,2.38E-11,4.20E-12,1.83E-11,4.51E-12,1.70E-13,1.73E-09,3.89E-10,3.86E-11,1.63E-12
00:02:30.047,2.76E-10,5.49E-12,1.99E-13,1.70E-13,9.03E-11,4.30E-13,2.37E-11,4.25E-12,1.84E-11,4.43E-12,1.78E-13,1.73E-09,3.89E-10,3.82E-11,1.62E-12
00:02:37.547,2.75E-10,5.39E-12,2.11E-13,1.93E-13,9.01E-11,4.27E-13,2.38E-11,4.22E-12,1.83E-11,4.35E-12,1.57E-13,1.73E-09,3.89E-10,3.78E-11,1.61E-12
00:02:45.047,2.74E-10,5.29E-12,1.77E-13,1.77E-13,9.00E-11,4.41E-13,2.38E-11,4.35E-12,1.84E-11,4.27E-12,1.57E-13,1.73E-09,3.89E-10,3.76E-11,1.59E-12
00:02:52.547,2.75E-10,5.17E-12,1.39E-13,1.51E-13,9.00E-11,5.13E-13,2.38E-11,4.24E-12,1.84E-11,4.27E-12,2.43E-13,1.72E-09,3.89E-10,3.72E-11,1.62E-12
00:03:00.047,2.75E-10,5.11E-12,2.02E-13,1.56E-13,8.99E-11,4.55E-13,2.37E-11,4.30E-12,1.84E-11,4.24E-12,1.92E-13,1.72E-09,3.88E-10,3.70E-11,1.58E-12
00:03:07.547,2.73E-10,5.01E-12,2.06E-13,2.04E-13,9.00E-11,5.05E-13,2.34E-11,4.32E-12,1.84E-11,4.24E-12,2.04E-13,1.72E-09,3.88E-10,3.67E-11,1.60E-12
00:03:15.047,2.73E-10,5.03E-12,1.95E-13,2.29E-13,9.27E-11,4.63E-13,2.05E-11,4.32E-12,1.85E-11,4.12E-12,1.68E-13,1.74E-09,3.72E-10,3.48E-11,1.57E-12
00:03:22.547,2.75E-10,4.88E-12,1.90E-13,2.11E-13,9.85E-11,5.70E-13,2.05E-11,4.28E-12,1.85E-11,3.51E-12,2.39E-13,1.82E-09,3.05E-10,2.86E-11,1.40E-12
00:03:30.047,2.76E-10,4.74E-12,1.93E-13,1.78E-13,1.03E-10,5.70E-13,1.58E-11,4.27E-12,1.84E-11,2.74E-12,2.10E-13,1.92E-09,2.29E-10,2.21E-11,1.21E-12
00:03:37.547,2.76E-10,4.69E-12,1.70E-13,1.36E-13,1.03E-10,5.99E-13,1.20E-11,4.22E-12,1.78E-11,2.12E-12,2.39E-13,2.00E-09,1.73E-10,1.72E-11,1.01E-12
00:03:45.047,2.77E-10,4.66E-12,2.29E-13,1.36E-13,1.07E-10,5.20E-13,9.02E-12,3.96E-12,1.70E-11,1.72E-12,1.80E-13,2.04E-09,1.32E-10,1.40E-11,9.22E-13
00:03:52.563,2.77E-10,4.60E-12,2.29E-13,2.12E-13,1.09E-10,5.93E-13,7.09E-12,3.71E-12,1.59E-11,1.42E-12,1.49E-13,2.08E-09,1.02E-10,1.15E-11,7.87E-13
00:04:00.047,2.76E-10,4.60E-12,1.99E-13,1.84E-13,1.11E-10,5.60E-13,5.55E-12,3.44E-12,1.49E-11,1.20E-12,1.44E-13,2.11E-09,8.01E-11,9.44E-12,6.33E-13
00:04:07.547,2.76E-10,4.45E-12,2.03E-13,1.91E-13,1.12E-10,5.64E-13,4.58E-12,3.23E-12,1.39E-11,1.08E-12,1.60E-13,2.13E-09,6.38E-11,8.10E-12,5.77E-13
00:04:15.047,2.76E-10,4.48E-12,1.88E-13,2.15E-13,1.13E-10,5.95E-13,3.68E-12,3.01E-12,1.30E-11,9.46E-13,2.20E-13,2.14E-09,5.14E-11,6.98E-12,4.89E-13
00:04:22.547,2.77E-10,4.40E-12,1.94E-13,1.35E-13,1.14E-10,5.24E-13,3.04E-12,2.89E-12,1.22E-11,7.96E-13,1.56E-13,2.16E-09,4.23E-11,6.31E-12,4.89E-13
00:04:30.047,2.75E-10,4.25E-12,1.76E-13,1.89E-13,1.14E-10,4.53E-13,2.59E-12,2.68E-12,1.15E-11,7.36E-13,2.30E-13,2.16E-09,3.55E-11,6.31E-12,4.57E-13
00:04:37.563,2.76E-10,4.29E-12,1.99E-13,2.00E-13,1.15E-10,5.04E-13,2.18E-12,2.57E-12,1.10E-11,6.48E-13,1.91E-13,2.17E-09,3.55E-11,5.65E-12,4.26E-13
00:04:45.047,2.76E-10,4.16E-12,1.51E-13,1.27E-13,1.15E-10,5.15E-13,1.92E-12,2.48E-12,1.03E-11,5.93E-13,2.18E-13,2.17E-09,3.01E-11,5.15E-12,3.91E-13
00:04:52.547,2.74E-10,4.14E-12,1.48E-13,1.35E-13,1.15E-10,4.85E-13,1.74E-12,2.32E-12,9.68E-12,6.19E-13,2.18E-13,2.17E-09,2.62E-11,4.81E-12,3.95E-13
00:05:00.047,2.74E-10,4.09E-12,2.09E-13,1.93E-13,1.16E-10,5.01E-13,1.55E-12,2.26E-12,9.25E-12,6.19E-13,2.20E-13,2.17E-09,2.32E-11,4.55E-12,3.75E-13
00:05:07.547,2.74E-10,3.98E-12,1.96E-13,2.06E-13,1.15E-10,5.38E-13,1.47E-12,2.25E-12,8.99E-12,5.08E-13,1.29E-13,2.17E-09,2.08E-11,4.26E-12,3.56E-13
00:05:15.063,2.74E-10,3.89E-12,2.26E-13,1.84E-13,1.15E-10,5.18E-13,1.37E-12,2.08E-12,8.99E-12,5.32E-13,2.14E-13,2.17E-09,1.90E-11,4.05E-12,3.59E-13
00:05:22.563,2.73E-10,3.87E-12,1.44E-13,1.49E-13,1.16E-10,5.87E-13,1.27E-12,2.08E-12,8.55E-12,5.19E-13,1.40E-13,2.17E-09,1.75E-11,3.93E-12,3.81E-13
00:05:30.063,2.73E-10,3.81E-12,1.99E-13,1.42E-13,1.16E-10,5.62E-13,1.27E-12,2.10E-12,8.26E-12,5.24E-13,1.71E-13,2.17E-09,1.63E-11,3.74E-12,3.58E-13
00:05:37.563,2.73E-10,3.63E-12,1.63E-13,1.59E-13,1.16E-10,5.62E-13,1.21E-12,2.02E-12,7.99E-12,4.88E-13,1.55E-13,2.17E-09,1.53E-11,3.56E-12,3.09E-13
00:05:45.078,2.71E-10,3.61E-12,1.85E-13,1.80E-13,1.16E-10,5.54E-13,1.15E-12,1.96E-12,7.82E-12,4.52E-13,1.47E-13,2.17E-09,1.46E-11,3.44E-12,3.97E-13
00:05:52.578,2.73E-10,3.60E-12,2.06E-13,1.80E-13,1.16E-10,5.35E-13,1.17E-12,1.88E-12,7.63E-12,5.33E-13,1.86E-13,2.17E-09,1.39E-11,3.30E-12,3.68E-13
00:06:00.078,2.72E-10,3.57E-12,2.06E-13,1.78E-13,1.16E-10,5.15E-13,1.10E-12,1.79E-12,7.40E-12,4.61E-13,1.23E-13,2.17E-09,1.33E-11,3.19E-12,3.46E-13
00:06:07.578,2.70E-10,3.57E-12,1.92E-13,2.08E-13,1.16E-10,4.63E-13,1.03E-12,1.84E-12,7.24E-12,4.07E-13,1.30E-13,2.17E-09,1.27E-11,3.06E-12,3.56E-13
00:06:15.078,2.70E-10,3.48E-12,1.51E-13,1.58E-13,1.16E-10,5.44E-13,1.06E-12,1.76E-12,7.14E-12,4.14E-13,1.82E-13,2.17E-09,1.23E-11,3.04E-12,3.69E-13
00:06:22.578,2.70E-10,3.50E-12,1.83E-13,1.92E-13,1.15E-10,4.83E-13,9.81E-13,1.73E-12,7.03E-12,4.31E-13,1.87E-13,2.17E-09,1.19E-11,2.91E-12,3.83E-13
00:06:30.078,2.71E-10,3.36E-12,2.29E-13,2.01E-13,1.16E-10,5.40E-13,1.05E-12,1.66E-12,6.84E-12,3.91E-13,1.46E-13,2.17E-09,1.16E-11,2.89E-12,3.83E-13
00:06:37.578,2.69E-10,3.35E-12,1.47E-13,1.55E-13,1.16E-10,4.58E-13,9.84E-13,1.66E-12,6.78E-12,3.60E-13,2.33E-13,2.17E-09,1.13E-11,2.89E-12,3.33E-13
00:06:45.078,2.69E-10,3.37E-12,1.51E-13,1.65E-13,1.16E-10,4.97E-13,9.34E-13,1.66E-12,6.73E-12,3.82E-13,1.98E-13,2.17E-09,1.13E-11,2.85E-12,3.23E-13
00:06:52.594,2.70E-10,3.27E-12,1.69E-13,1.56E-13,1.15E-10,4.47E-13,9.05E-13,1.66E-12,6.65E-12,3.51E-13,1.74E-13,2.17E-09,1.09E-11,2.78E-12,3.08E-13
00:07:00.078,2.69E-10,3.17E-12,1.57E-13,1.30E-13,1.15E-10,4.82E-13,9.50E-13,1.73E-12,6.64E-12,3.46E-13,1.74E-13,2.16E-09,1.08E-11,2.69E-12,3.04E-13
00:07:07.578,2.69E-10,3.20E-12,1.54E-13,1.65E-13,1.15E-10,5.28E-13,9.03E-13,1.76E-12,6.55E-12,3.46E-13,2.21E-13,2.16E-09,1.05E-11,2.63E-12,2.86E-13
00:07:15.078,2.69E-10,3.15E-12,1.45E-13,1.77E-13,1.15E-10,5.46E-13,9.22E-13,1.62E-12,6.52E-12,3.55E-13,1.66E-13,2.16E-09,1.03E-11,2.60E-12,3.01E-13
00:07:22.578,2.69E-10,3.11E-12,2.42E-13,2.34E-13,1.15E-10,5.60E-13,8.62E-13,1.68E-12,6.52E-12,3.66E-13,1.77E-13,2.16E-09,1.01E-11,2.59E-12,3.54E-13
00:07:30.078,2.68E-10,3.06E-12,1.83E-13,1.87E-13,1.15E-10,5.20E-13,8.61E-13,1.68E-12,6.53E-12,3.98E-13,2.34E-13,2.16E-09,9.82E-12,2.52E-12,2.78E-13
00:07:37.578,2.67E-10,2.96E-12,1.85E-13,2.09E-13,1.15E-10,6.51E-13,8.61E-13,1.63E-12,6.49E-12,3.12E-13,1.10E-13,2.16E-09,9.61E-12,2.47E-12,3.08E-13
00:07:45.078,2.68E-10,2.89E-12,1.32E-13,1.41E-13,1.15E-10,6.51E-13,9.10E-13,1.63E-12,6.51E-12,3.30E-13,2.14E-13,2.16E-09,9.44E-12,2.42E-12,3.02E-13
00:07:52.578,2.66E-10,2.82E-12,1.97E-13,2.12E-13,1.15E-10,5.67E-13,8.63E-13,1.66E-12,6.45E-12,2.86E-13,1.13E-13,2.16E-09,9.31E-12,2.43E-12,2.78E-13
00:08:00.078,2.67E-10,2.86E-12,2.29E-13,2.12E-13,1.15E-10,6.51E-13,9.08E-13,1.60E-12,6.37E-12,3.94E-13,1.56E-13,2.15E-09,9.24E-12,2.31E-12,3.15E-13
00:08:07.578,2.67E-10,2.73E-12,2.29E-13,1.70E-13,1.15E-10,5.62E-13,8.23E-13,1.59E-12,6.33E-12,3.17E-13,1.47E-13,2.15E-09,9.01E-12,2.33E-12,3.47E-13
00:08:15.078,2.66E-10,2.73E-12,2.16E-13,1.82E-13,1.15E-10,5.77E-13,8.24E-13,1.57E-12,6.32E-12,3.72E-13,1.94E-13,2.15E-09,8.87E-12,2.21E-12,2.94E-13
00:08:22.578,2.66E-10,2.74E-12,1.85E-13,1.79E-13,1.15E-10,5.08E-13,8.34E-13,1.59E-12,6.31E-12,3.48E-13,2.08E-13,2.15E-09,8.74E-12,2.20E-12,3.26E-13
00:08:30.078,2.66E-10,2.66E-12,1.62E-13,1.36E-13,1.15E-10,5.29E-13,7.89E-13,1.57E-12,6.31E-12,3.35E-13,2.21E-13,2.15E-09,8.65E-12,2.18E-12,3.23E-13
00:08:37.578,2.67E-10,2.65E-12,1.97E-13,1.89E-13,1.15E-10,5.61E-13,8.24E-13,1.55E-12,6.31E-12,3.42E-13,2.21E-13,2.15E-09,8.52E-12,2.12E-12,3.23E-13
00:08:45.078,2.65E-10,2.64E-12,1.35E-13,1.78E-13,1.15E-10,4.76E-13,8.06E-13,1.56E-12,6.34E-12,3.56E-13,2.15E-13,2.15E-09,8.33E-12,2.12E-12,2.75E-13
00:08:52.578,2.64E-10,2.63E-12,1.74E-13,1.80E-13,1.15E-10,4.81E-13,8.10E-13,1.57E-12,6.25E-12,3.11E-13,1.88E-13,2.15E-09,8.33E-12,2.09E-12,3.08E-13
00:09:00.078,2.65E-10,2.61E-12,1.83E-13,2.95E-13,1.15E-10,5.69E-13,7.82E-13,1.55E-12,6.22E-12,3.38E-13,1.66E-13,2.15E-09,8.34E-12,2.10E-12,3.13E-13
00:09:07.578,2.64E-10,2.59E-12,1.70E-13,2.23E-13,1.15E-10,5.30E-13,7.36E-13,1.55E-12,6.18E-12,3.10E-13,1.66E-13,2.15E-09,8.19E-12,2.04E-12,3.14E-13
00:09:15.078,2.65E-10,2.53E-12,1.76E-13,2.70E-13,1.15E-10,5.30E-13,7.79E-13,1.54E-12,6.26E-12,3.10E-13,1.87E-13,2.14E-09,8.04E-12,2.07E-12,2.59E-13
00:09:22.578,2.64E-10,2.50E-12,1.81E-13,1.96E-13,1.15E-10,5.15E-13,7.58E-13,1.57E-12,6.15E-12,3.01E-13,1.76E-13,2.15E-09,8.02E-12,1.96E-12,2.64E-13
00:09:30.078,2.65E-10,2.61E-12,2.27E-13,1.72E-13,1.15E-10,4.65E-13,7.26E-13,1.54E-12,6.15E-12,3.61E-13,1.80E-13,2.14E-09,7.95E-12,2.04E-12,2.53E-13
00:09:37.578,2.64E-10,2.51E-12,2.10E-13,1.99E-13,1.15E-10,4.83E-13,7.70E-13,1.54E-12,6.15E-12,2.97E-13,2.06E-13,2.14E-09,7.90E-12,2.00E-12,2.93E-13
00:09:45.078,2.65E-10,2.42E-12,1.85E-13,1.54E-13,1.15E-10,5.20E-13,7.70E-13,1.58E-12,6.16E-12,3.14E-13,2.15E-13,2.14E-09,7.74E-12,1.94E-12,2.57E-13
00:09:52.578,2.65E-10,2.46E-12,2.09E-13,1.68E-13,1.15E-10,5.20E-13,7.37E-13,1.59E-12,6.09E-12,2.52E-13,1.34E-13,2.14E-09,7.71E-12,1.95E-12,2.74E-13
00:10:00.078,2.63E-10,2.44E-12,1.50E-13,1.77E-13,1.15E-10,5.45E-13,7.14E-13,1.59E-12,6.04E-12,2.73E-13,1.65E-13,2.14E-09,7.70E-12,1.92E-12,2.90E-13
00:10:07.578,2.64E-10,2.29E-12,1.94E-13,1.77E-13,1.14E-10,5.42E-13,8.90E-13,1.57E-12,6.05E-12,3.10E-13,2.40E-13,2.14E-09,7.59E-12,1.84E-12,2.46E-13
00:10:15.078,2.63E-10,2.34E-12,1.94E-13,2.16E-13,1.15E-10,5.25E-13,7.99E-13,1.56E-12,6.05E-12,2.80E-13,1.83E-13,2.14E-09,7.58E-12,1.90E-12,2.67E-13
00:10:22.578,2.62E-10,2.34E-12,1.89E-13,1.35E-13,1.15E-10,5.03E-13,7.54E-13,1.52E-12,5.99E-12,3.31E-13,1.54E-13,2.14E-09,7.46E-12,1.89E-12,3.12E-13
00:10:30.078,2.63E-10,2.27E-12,1.71E-13,2.08E-13,1.15E-10,5.48E-13,7.52E-13,1.54E-12,5.92E-12,3.05E-13,1.84E-13,2.14E-09,7.42E-12,1.84E-12,2.81E-13
00:10:37.578,2.63E-10,2.24E-12,2.07E-13,2.24E-13,1.15E-10,5.71E-13,7.64E-13,1.52E-12,5.97E-12,2.87E-13,1.82E-13,2.14E-09,7.36E-12,1.84E-12,2.99E-13
00:10:45.078,2.64E-10,2.21E-12,1.25E-13,2.92E-13,1.15E-10,6.31E-13,7.53E-13,1.46E-12,5.88E-12,2.67E-13,1.67E-13,2.14E-09,7.27E-12,1.81E-12,2.99E-13
00:10:52.578,2.61E-10,2.22E-12,2.06E-13,1.98E-13,1.15E-10,5.95E-13,7.05E-13,1.51E-12,5.82E-12,2.74E-13,1.72E-13,2.14E-09,7.20E-12,1.81E-12,2.76E-13
00:11:00.078,2.62E-10,2.21E-12,1.58E-13,1.41E-13,1.15E-10,6.10E-13,7.03E-13,1.44E-12,5.83E-12,2.57E-13,1.56E-13,2.14E-09,7.20E-12,1.82E-12,2.65E-13
00:11:07.594,2.62E-10,2.13E-12,1.60E-13,1.97E-13,1.15E-10,6.28E-13,6.94E-13,1.45E-12,5.81E-12,2.65E-13,2.07E-13,2.14E-09,7.13E-12,1.80E-12,3.14E-13
00:11:15.078,2.62E-10,2.06E-12,1.62E-13,1.88E-13,1.15E-10,6.05E-13,7.45E-13,1.46E-12,5.80E-12,3.21E-13,2.07E-13,2.14E-09,7.02E-12,1.77E-12,2.75E-13
00:11:22.578,2.61E-10,2.04E-12,2.08E-13,1.69E-13,1.15E-10,6.57E-13,6.92E-13,1.40E-12,5.71E-12,3.21E-13,1.54E-13,2.14E-09,7.04E-12,1.73E-12,2.28E-13
00:11:30.078,2.61E-10,2.02E-12,1.94E-13,1.99E-13,1.15E-10,5.40E-13,6.91E-13,1.40E-12,5.74E-12,2.54E-13,1.60E-13,2.14E-09,6.90E-12,1.68E-12,3.05E-13
00:11:37.578,2.62E-10,1.98E-12,2.42E-13,2.00E-13,1.14E-10,5.71E-13,6.74E-13,1.43E-12,5.74E-12,2.63E-13,1.60E-13,2.14E-09,6.87E-12,1.66E-12,2.95E-13
00:11:45.078,2.61E-10,1.97E-12,2.16E-13,1.87E-13,1.15E-10,4.86E-13,6.94E-13,1.43E-12,5.65E-12,2.83E-13,1.91E-13,2.14E-09,6.77E-12,1.68E-12,2.82E-13
00:11:52.578,2.62E-10,1.96E-12,1.93E-13,1.65E-13,1.15E-10,5.72E-13,6.94E-13,1.39E-12,5.69E-12,3.02E-13,2.12E-13,2.14E-09,6.71E-12,1.61E-12,2.38E-13
00:12:00.078,2.61E-10,1.92E-12,1.72E-13,2.15E-13,1.15E-10,5.72E-13,6.79E-13,1.42E-12,5.62E-12,3.15E-13,1.88E-13,2.14E-09,6.70E-12,1.64E-12,2.74E-13
00:12:07.578,2.60E-10,1.93E-12,1.82E-13,1.66E-13,1.15E-10,5.24E-13,7.40E-13,1.46E-12,5.58E-12,2.99E-13,1.86E-13,2.13E-09,6.68E-12,1.62E-12,2.83E-13
00:12:15.078,2.61E-10,1.91E-12,1.79E-13,1.66E-13,1.15E-10,5.33E-13,6.42E-13,1.44E-12,5.53E-12,2.52E-13,1.51E-13,2.13E-09,6.58E-12,1.67E-12,2.67E-13
00:12:22.578,2.61E-10,1.93E-12,1.79E-13,2.09E-13,1.14E-10,5.04E-13,6.72E-13,1.45E-12,5.55E-12,2.85E-13,1.91E-13,2.13E-09,6.62E-12,1.67E-12,2.28E-13
00:12:30.078,2.60E-10,1.93E-12,1.84E-13,1.59E-13,1.14E-10,5.52E-13,6.73E-13,1.45E-12,5.53E-12,2.93E-13,1.27E-13,2.13E-09,6.58E-12,1.74E-12,2.74E-13
00:12:37.578,2.60E-10,1.94E-12,1.90E-13,1.84E-13,1.14E-10,5.76E-13,6.54E-13,1.40E-12,5.50E-12,2.98E-13,1.34E-13,2.13E-09,6.57E-12,1.66E-12,2.62E-13
