データファイル名        : ,C:\Users\rwth-\Documents\MASS\220930_D2_rt_calib\220930_0p2%D2_25%H2_rt.qst,,,,,,,,,,,,,,,,,,,,,,,,
ロットＩＤ              : ,,,,,,,,,,,,,,,,,,,,,,,,,
センサータイプ          : ,HGM2-302            ,,,,,,,,,,,,,,,,,,,,,,,,
センサー番号            : ,1,,,,,,,,,,,,,,,,,,,,,,,,
レシピ番号              : ,2,,,,,,,,,,,,,,,,,,,,,,,,
レシピ名称              : ,D2_n1,,,,,,,,,,,,,,,,,,,,,,,,
測定モード              : ,トレンドモード,,,,,,,,,,,,,,,,,,,,,,,,
測定質量数              : ,2,3,4,18,28,32,44,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,
測定スピード            : ,500,msec,,,,,,,,,,,,,,,,,,,,,,,
移動平均回数            : ,1,回,,,,,,,,,,,,,,,,,,,,,,,
測定間隔                : ,3500,msec,,,,,,,,,,,,,,,,,,,,,,,
保存間隔                : ,1,回,,,,,,,,,,,,,,,,,,,,,,,
導入バルブ状態          : ,全閉,,,,,,,,,,,,,,,,,,,,,,,,
終了バルブ状態          : ,状態維持,,,,,,,,,,,,,,,,,,,,,,,,
イオン化電圧            : ,70,eV,,,,,,,,,,,,,,,,,,,,,,,
レンジ値                : ,オートレンジ,,,,,,,,,,,,,,,,,,,,,,,,
データの種類            : ,イオン強度,,,,,,,,,,,,,,,,,,,,,,,,
分圧の参照値            : ,感度校正値,,,,,,,,,,,,,,,,,,,,,,,,
圧力単位                : ,[Pa],,,,,,,,,,,,,,,,,,,,,,,,
ｱﾅﾛｸﾞCH.1のデータの種類 : ,圧力,,,,,,,,,,,,,,,,,,,,,,,,
ｱﾅﾛｸﾞCH.2のデータの種類 : ,圧力,,,,,,,,,,,,,,,,,,,,,,,,
選択 FIL                : ,FIL1,,,,,,,,,,,,,,,,,,,,,,,,
選択 SEM / FC           : ,FC,,,,,,,,,,,,,,,,,,,,,,,,
SEM 電圧                : ,-1.2,kV,,,,,,,,,,,,,,,,,,,,,,,
変換条件 電流 ->分圧    : ,校正圧力値,5.00E-04,設定イオン電流値,1.20E-09,,,,,,,,,,,,,,,,,,,,,
変換条件 ｱﾅﾛｸﾞ1->圧力   : ,換算係数値,8,,,,,,,,,,,,,,,,,,,,,,,
"圧力変換条件 ""ｱﾅﾛｸﾞ1->温度   : """,最大温度,1000,最小温度,0,,,,,,,,,,,,,,,,,,,,,
変換条件 ｱﾅﾛｸﾞ2->圧力   : ,換算係数値,8,,,,,,,,,,,,,,,,,,,,,,,
変換条件 ｱﾅﾛｸﾞ2->温度   : ,最大温度,1000,最小温度,0,,,,,,,,,,,,,,,,,,,,,
測定開始日時            : ,2022/9/30 14:15,,,,,,,,,,,,,,,,,,,,,,,,
測定終了日時            : ,2022/9/30 14:17,,,,,,,,,,,,,,,,,,,,,,,,
エミッション電流        : ,500,μA,,,,,,,,,,,,,,,,,,,,,,,
SEMインターロック       : ,無視状態,有効,1.00E-02,,,,,,,,,,,,,,,,,,,,,,
Ar表示機能              : ,無効,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,3,4,18,28,32,44,--,--,--,--,--,--,--,--,--,--,--,--,--
測定回数,経過時間   ,時刻　　    ,分圧比率1 ,分圧比率2 ,全圧   ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,000:00:00.000,2022/9/30  14:15:58:0 ,0,0,1.00E-99,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
2,000:00:03.515,2022/9/30  14:16:1:515 ,0,0,1.00E-99,5.28E-10,6.75E-13,1.55E-12,4.21E-11,1.46E-12,1.31E-13,1.00E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
3,000:00:07.015,2022/9/30  14:16:5:15 ,0,0,1.00E-99,5.41E-10,6.46E-13,1.74E-12,4.44E-11,1.47E-12,1.23E-13,1.82E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
4,000:00:10.515,2022/9/30  14:16:8:515 ,0,0,1.00E-99,5.46E-10,6.39E-13,1.75E-12,4.45E-11,1.48E-12,1.23E-13,1.78E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
5,000:00:14.015,2022/9/30  14:16:12:15 ,0,0,1.00E-99,5.48E-10,6.56E-13,1.79E-12,4.46E-11,1.47E-12,1.27E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
6,000:00:17.531,2022/9/30  14:16:15:531 ,0,0,1.00E-99,5.49E-10,6.18E-13,1.77E-12,4.47E-11,1.47E-12,1.37E-13,1.86E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
7,000:00:21.015,2022/9/30  14:16:19:15 ,0,0,1.00E-99,5.51E-10,6.29E-13,1.76E-12,4.48E-11,1.48E-12,1.48E-13,1.88E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
8,000:00:24.515,2022/9/30  14:16:22:515 ,0,0,1.00E-99,5.52E-10,6.40E-13,1.77E-12,4.48E-11,1.46E-12,1.52E-13,1.83E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
9,000:00:28.015,2022/9/30  14:16:26:15 ,0,0,1.00E-99,5.52E-10,6.52E-13,1.79E-12,4.48E-11,1.49E-12,1.38E-13,1.86E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
10,000:00:31.515,2022/9/30  14:16:29:515 ,0,0,1.00E-99,5.52E-10,6.19E-13,1.79E-12,4.49E-11,1.49E-12,1.33E-13,1.84E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
11,000:00:35.015,2022/9/30  14:16:33:15 ,0,0,1.00E-99,5.53E-10,6.23E-13,1.79E-12,4.49E-11,1.48E-12,1.46E-13,1.87E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
12,000:00:38.515,2022/9/30  14:16:36:515 ,0,0,1.00E-99,5.53E-10,6.23E-13,1.77E-12,4.49E-11,1.49E-12,1.26E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
13,000:00:42.015,2022/9/30  14:16:40:15 ,0,0,1.00E-99,5.53E-10,6.32E-13,1.82E-12,4.48E-11,1.46E-12,1.21E-13,1.88E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
14,000:00:45.515,2022/9/30  14:16:43:515 ,0,0,1.00E-99,5.53E-10,7.03E-13,1.82E-12,4.49E-11,1.50E-12,1.35E-13,1.88E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
15,000:00:49.015,2022/9/30  14:16:47:15 ,0,0,1.00E-99,5.54E-10,6.50E-13,1.79E-12,4.48E-11,1.47E-12,1.44E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
16,000:00:52.515,2022/9/30  14:16:50:515 ,0,0,1.00E-99,5.53E-10,6.51E-13,1.80E-12,4.48E-11,1.48E-12,1.56E-13,1.85E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
17,000:00:56.031,2022/9/30  14:16:54:31 ,0,0,1.00E-99,5.53E-10,6.32E-13,1.81E-12,4.48E-11,1.47E-12,1.37E-13,1.90E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
18,000:00:59.515,2022/9/30  14:16:57:515 ,0,0,1.00E-99,5.53E-10,6.82E-13,1.81E-12,4.48E-11,1.48E-12,1.37E-13,1.84E-12,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
