データファイル名        : ,C:\ULVAC\QuleeQCS4\S1\Komatsu\231220_VN0p9_Fe_thin\S1_231219_124924.qst,,,,,,,,,,,,,,,,,,,,,,,,
チャンバ名              : ,,,,,,,,,,,,,,,,,,,,,,,,,
装置名                  : ,,,,,,,,,,,,,,,,,,,,,,,,,
センサータイプ          : ,HGM2-302            ,,,,,,,,,,,,,,,,,,,,,,,,
センサー番号            : ,1,,,,,,,,,,,,,,,,,,,,,,,,
レシピ番号              : ,0,,,,,,,,,,,,,,,,,,,,,,,,
レシピ名称              : ,NH3_trend2,,,,,,,,,,,,,,,,,,,,,,,,
測定モード              : ,トレンドモード,,,,,,,,,,,,,,,,,,,,,,,,
測定質量数              : ,1,2,3,4,14,15,16,17,18,20,22,28,32,40,44,--,--,--,--,--,,,,,
測定スピード            : ,500,msec,,,,,,,,,,,,,,,,,,,,,,,
移動平均回数            : ,1,回,,,,,,,,,,,,,,,,,,,,,,,
測定間隔                : ,7500,msec,,,,,,,,,,,,,,,,,,,,,,,
保存間隔                : ,1,回,,,,,,,,,,,,,,,,,,,,,,,
導入バルブ状態          : ,全閉,,,,,,,,,,,,,,,,,,,,,,,,
終了バルブ状態          : ,状態維持,,,,,,,,,,,,,,,,,,,,,,,,
イオン化電圧            : ,70,eV,,,,,,,,,,,,,,,,,,,,,,,
レンジ値                : ,オートレンジ,,,,,,,,,,,,,,,,,,,,,,,,
データの種類            : ,イオン強度,,,,,,,,,,,,,,,,,,,,,,,,
分圧の参照値            : ,感度校正値,,,,,,,,,,,,,,,,,,,,,,,,
圧力単位                : ,[Pa],,,,,,,,,,,,,,,,,,,,,,,,
ｱﾅﾛｸﾞCH.1のデータの種類 : ,圧力,,,,,,,,,,,,,,,,,,,,,,,,
ｱﾅﾛｸﾞCH.2のデータの種類 : ,圧力,,,,,,,,,,,,,,,,,,,,,,,,
選択 FIL                : ,FIL1,,,,,,,,,,,,,,,,,,,,,,,,
選択 SEM / FC           : ,FC,,,,,,,,,,,,,,,,,,,,,,,,
SEM 電圧                : ,-1.2,kV,,,,,,,,,,,,,,,,,,,,,,,
変換条件 電流 ->分圧    : ,校正圧力値,5.00E-04,設定イオン電流値,4.81E-10,,,,,,,,,,,,,,,,,,,,,
変換条件 ｱﾅﾛｸﾞ1->圧力   : ,換算係数値,8,,,,,,,,,,,,,,,,,,,,,,,
圧力変換条件 ｱﾅﾛｸﾞ1->温度   : ,最大温度,1000,最小温度,0,,,,,,,,,,,,,,,,,,,,,
変換条件 ｱﾅﾛｸﾞ2->圧力   : ,換算係数値,8,,,,,,,,,,,,,,,,,,,,,,,
変換条件 ｱﾅﾛｸﾞ2->温度   : ,最大温度,1000,最小温度,0,,,,,,,,,,,,,,,,,,,,,
測定開始日時            : ,2023/12/19 12:49,,,,,,,,,,,,,,,,,,,,,,,,
測定終了日時            : ,2023/12/20 11:07,,,,,,,,,,,,,,,,,,,,,,,,
エミッション電流        : ,500,μA,,,,,,,,,,,,,,,,,,,,,,,
SEMインターロック       : ,無視状態,有効,1.00E-02,,,,,,,,,,,,,,,,,,,,,,
Ar表示機能              : ,無効,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,2,3,4,14,15,16,17,18,20,22,28,32,40,44,--,--,--,--,--
測定回数,経過時間   ,時刻　　    ,分圧比率1 ,分圧比率2 ,全圧   ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,000:00:00.000,2023/12/19  12:49:24:0 ,1,1,1.00E-99,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
2,000:00:07.500,2023/12/19  12:49:31:500 ,23.1126575,0.0027991,1.00E-99,3.00E-10,4.55E-13,7.29E-14,4.33E-14,1.11E-10,4.95E-13,7.58E-14,2.30E-13,7.98E-13,1.30E-11,5.27E-14,1.99E-09,2.41E-13,8.61E-11,1.00E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
