Elapsed Time (s),m=15,m=16,m=17,m=18,m=20,m=22,m=28,m=32,m=40,m=44
00:00:00.00,1e-14,1e-14,1e-14,1e-14,1e-14,1e-14,1e-14,1e-14,1e-14,1e-14
00:00:07.50,3e-10,4.55e-13,7.29e-14,4.33e-14,1.11e-10,4.95e-13,7.58e-14,2.3e-13,7.98e-13,1.3e-11
00:00:15.01,3.44e-10,8.92e-13,6.52e-14,4.91e-14,1.13e-10,5.09e-13,7.71e-14,1.36e-13,5.51e-13,7.28e-12
00:00:22.51,3.47e-10,9.73e-13,6.82e-14,4.3e-14,1.13e-10,4.72e-13,6.77e-14,1.49e-13,4.24e-13,4.21e-12
00:00:30.01,3.48e-10,8.83e-13,7.26e-14,4.18e-14,1.13e-10,5.2e-13,7.04e-14,1.2e-13,3.65e-13,2.5e-12
00:00:37.51,3.45e-10,8.91e-13,5.78e-14,5.94e-14,1.13e-10,4.99e-13,6.13e-14,1.03e-13,3.24e-13,1.55e-12
00:00:45.01,3.46e-10,8.81e-13,6.62e-14,4.11e-14,1.13e-10,4.92e-13,6.12e-14,1.03e-13,3.08e-13,1.55e-12
00:00:52.51,3.47e-10,8.54e-13,6.21e-14,4.93e-14,1.12e-10,4.94e-13,5.94e-14,9.89e-14,2.56e-13,9.46e-13
00:01:00.01,3.44e-10,8.76e-13,5.68e-14,5.5e-14,1.12e-10,5.19e-13,7.19e-14,8e-14,2.56e-13,6.13e-13
00:01:07.51,3.45e-10,8.53e-13,5.86e-14,5.27e-14,1.12e-10,4.63e-13,5.75e-14,8e-14,2.87e-13,4.18e-13
00:01:15.01,3.44e-10,8.25e-13,4.29e-14,5.96e-14,1.12e-10,4.87e-13,5.75e-14,8.45e-14,2.32e-13,3.03e-13
00:01:22.51,3.42e-10,8.56e-13,5.93e-14,5.52e-14,1.03e-10,4.87e-13,6.35e-14,1.12e-13,2.16e-13,3.37e-13
00:01:30.01,3.39e-10,8.25e-13,5.89e-14,5.92e-14,1.03e-10,4.35e-13,2.94e-12,9.79e-14,3.54e-13,3.73e-11
00:01:37.51,3.29e-10,7.54e-13,6.49e-14,5.92e-14,7.39e-11,3.17e-13,9.31e-12,1.1e-13,4.78e-13,7.71e-11
00:01:45.01,3.28e-10,7.95e-13,6.49e-14,3.87e-14,6.31e-11,2.84e-13,1.15e-11,1.13e-13,5.45e-13,8.2e-11
00:01:52.51,3.33e-10,7.95e-13,5.67e-14,6.14e-14,6.51e-11,2.91e-13,1.23e-11,1.84e-13,7.71e-13,7.4e-11
00:02:00.01,3.34e-10,8.33e-13,7.92e-14,6.64e-14,7.46e-11,3.05e-13,1.17e-11,2.21e-13,9.82e-13,5.08e-11
00:02:07.51,3.34e-10,8.41e-13,8.14e-14,5.24e-14,8.41e-11,3.89e-13,1.02e-11,3.05e-13,1.12e-12,3.14e-11
00:02:15.01,3.35e-10,8.35e-13,5.44e-14,5.9e-14,9.21e-11,4.06e-13,7.82e-12,3.46e-13,1.32e-12,1.89e-11
00:02:22.51,3.37e-10,8.3e-13,5.89e-14,5.44e-14,9.84e-11,4.12e-13,5.28e-12,3.82e-13,1.46e-12,1.13e-11
00:02:30.01,3.38e-10,8.56e-13,6.37e-14,4.37e-14,1.03e-10,4.57e-13,3.29e-12,4.52e-13,1.66e-12,6.57e-12
00:02:37.51,3.39e-10,8.29e-13,5.03e-14,4.41e-14,1.06e-10,4.52e-13,2.02e-12,4.78e-13,1.85e-12,3.94e-12
00:02:45.01,3.38e-10,9.06e-13,4.67e-14,4.94e-14,1.07e-10,4.86e-13,1.24e-12,5e-13,1.94e-12,2.38e-12
00:02:52.51,3.39e-10,8.63e-13,8e-14,5.17e-14,1.08e-10,4.58e-13,8.03e-13,5.42e-13,2.07e-12,2.38e-12
00:03:00.01,3.38e-10,8.8e-13,5.18e-14,5.17e-14,1.08e-10,4.95e-13,5.22e-13,5.23e-13,2.15e-12,1.53e-12
00:03:07.53,3.37e-10,9.08e-13,4.5e-14,6.19e-14,1.09e-10,4.46e-13,3.97e-13,6.17e-13,2.15e-12,9.63e-13
00:03:15.03,3.37e-10,8.86e-13,5.44e-14,5.22e-14,1.09e-10,4.54e-13,3.19e-13,6.17e-13,2.2e-12,6.51e-13
00:03:22.53,3.37e-10,8.7e-13,5.78e-14,5.31e-14,1.09e-10,4.71e-13,3.19e-13,6.15e-13,2.26e-12,4.72e-13
00:03:30.03,3.35e-10,8.31e-13,4.69e-14,4.04e-14,1.09e-10,4.71e-13,2.59e-13,5.93e-13,2.33e-12,3.4e-13
00:03:37.53,3.36e-10,8.52e-13,6.43e-14,5.39e-14,1.09e-10,5.01e-13,2.29e-13,5.83e-13,2.32e-12,2.51e-13
00:03:45.04,3.36e-10,8.54e-13,6.66e-14,5.39e-14,1.08e-10,4.55e-13,2.36e-13,6e-13,2.34e-12,2.43e-13
00:03:52.54,3.33e-10,8.2e-13,6.66e-14,5.26e-14,1.08e-10,4.7e-13,2.18e-13,6.5e-13,2.38e-12,1.91e-13
00:04:00.04,3.35e-10,8.2e-13,4.03e-14,4.85e-14,1.08e-10,4.35e-13,2.17e-13,6.13e-13,2.34e-12,1.73e-13
00:04:07.54,3.35e-10,8.25e-13,6.04e-14,4.98e-14,1.08e-10,4.56e-13,2.18e-13,6.23e-13,2.34e-12,1.56e-13
00:04:15.04,3.35e-10,8.19e-13,5.18e-14,6.09e-14,1.08e-10,4.83e-13,2.01e-13,6.09e-13,2.3e-12,1.44e-13
00:04:22.54,3.33e-10,8.2e-13,5.5e-14,4.63e-14,1.08e-10,4.86e-13,1.91e-13,6.07e-13,2.27e-12,1.48e-13
00:04:30.04,3.33e-10,8.71e-13,5.51e-14,4.66e-14,1.08e-10,4.49e-13,1.89e-13,6e-13,2.22e-12,1.43e-13
00:04:37.54,3.33e-10,8.26e-13,4.9e-14,5.38e-14,1.07e-10,4.46e-13,2.06e-13,5.84e-13,2.17e-12,1.22e-13
00:04:45.04,3.32e-10,8.38e-13,5.95e-14,5.74e-14,1.07e-10,4.52e-13,1.94e-13,5.62e-13,2.14e-12,1.33e-13
00:04:52.54,3.32e-10,7.78e-13,5.45e-14,4.99e-14,1.07e-10,4.94e-13,1.7e-13,5.87e-13,2.07e-12,1.1e-13
00:05:00.04,3.32e-10,8.45e-13,3.82e-14,4.84e-14,1.07e-10,4.99e-13,1.73e-13,5.51e-13,2.04e-12,1.07e-13
00:05:07.54,3.31e-10,8.2e-13,5.3e-14,5.1e-14,1.07e-10,4.86e-13,1.91e-13,5.34e-13,2e-12,1.07e-13
00:05:15.04,3.3e-10,8.23e-13,4.54e-14,5.09e-14,1.07e-10,4.58e-13,1.68e-13,5.47e-13,2e-12,9.71e-14
00:05:22.54,3.31e-10,8.31e-13,5.71e-14,5.15e-14,1.07e-10,4.61e-13,1.54e-13,5.47e-13,1.94e-12,9.12e-14
00:05:30.04,3.3e-10,8.17e-13,6.69e-14,6.01e-14,1.07e-10,5.19e-13,1.54e-13,5.14e-13,1.88e-12,8.85e-14
00:05:37.54,3.29e-10,8.28e-13,6.56e-14,4.7e-14,1.07e-10,5.19e-13,1.77e-13,4.99e-13,1.81e-12,8.46e-14
00:05:45.04,3.3e-10,8.58e-13,6.08e-14,5.59e-14,1.07e-10,4.88e-13,1.39e-13,4.55e-13,1.77e-12,9.87e-14
00:05:52.54,3.29e-10,8.29e-13,5.4e-14,5.59e-14,1.06e-10,4.62e-13,1.51e-13,4.78e-13,1.75e-12,8.57e-14
00:06:00.04,3.27e-10,8.26e-13,5.4e-14,4.45e-14,1.06e-10,5e-13,1.36e-13,4.81e-13,1.67e-12,6.67e-14
00:06:07.54,3.28e-10,8.42e-13,5.64e-14,5.27e-14,1.06e-10,4.7e-13,1.34e-13,4.54e-13,1.65e-12,9.86e-14
00:06:15.04,3.28e-10,8.42e-13,6.52e-14,5.32e-14,1.06e-10,4.79e-13,1.18e-13,4.43e-13,1.59e-12,8.38e-14
00:06:22.54,3.28e-10,8.22e-13,6.65e-14,5.08e-14,1.06e-10,4.39e-13,1.28e-13,4.21e-13,1.55e-12,9.19e-14
00:06:30.04,3.26e-10,8.36e-13,5.41e-14,5.07e-14,1.06e-10,4.63e-13,1.47e-13,4.36e-13,1.53e-12,7.44e-14
00:06:37.54,3.27e-10,8.26e-13,4.33e-14,5.55e-14,1.06e-10,4.71e-13,1.49e-13,3.9e-13,1.49e-12,7.73e-14
